,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
674,Tata Tiago -,PLATINUM,Bangalore,600399,38346, Petrol , 2nd Owner,2019,Tata
675,Maruti Suzuki Alto,PLATINUM,Chennai,367399,41530, Petrol , 2nd Owner,2017,Maruti
676,Ford Ecosport -,PLATINUM,Pune,704099,23049, Petrol , 2nd Owner,2017,Ford
677,Maruti Suzuki Wagon,PLATINUM,Bangalore,377899,74510, Petrol , 1st Owner,2016,Maruti
678,Maruti Suzuki Wagon,PLATINUM,Bangalore,458699,20141, Petrol , 2nd Owner,2016,Maruti
679,Ford Ecosport -,PLATINUM,Chennai,566199,85860, Petrol , 2nd Owner,2015,Ford
680,Maruti Suzuki Swift,PLATINUM,Pune,594599,63133, Diesel , 1st Owner,2017,Maruti
681,Maruti Suzuki Dzire,PLATINUM,Bangalore,678699,71894, Petrol , 2nd Owner,2018,Maruti
682,Renault Duster -,PLATINUM,Bangalore,883099,95627, Diesel , 2nd Owner,2017,Renault
683,Ford Ecosport -,PLATINUM,Pune,578099,75324, Diesel , 2nd Owner,2014,Ford
684,Maruti Suzuki Alto,PLATINUM,Pune,305899,64611, Petrol , 2nd Owner,2015,Maruti
685,Maruti Suzuki Celerio,PLATINUM,Bangalore,457399,77128, Petrol , 3rd Owner,2016,Maruti
686,Maruti Suzuki Alto,PLATINUM,Bangalore,316799,36306, Petrol , 1st Owner,2016,Maruti
687,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803, Petrol , 1st Owner,2011,Hyundai
688,Mahindra XUV 500,GOLD,Mumbai,1100000,44000, Diesel , 1st Owner,2018,Mahindra
691,Honda City 1.5,GOLD,Kolkata,990888,700, Petrol , 1st Owner,2020,Honda
696,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803, Petrol , 1st Owner,2011,Hyundai
697,Hyundai Creta 1.6,PLATINUM,Chennai,841499,75398, Petrol , 2nd Owner,2017,Hyundai
698,Honda City ZX,PLATINUM,Bangalore,1016899,42317, Petrol , 1st Owner,2017,Honda
699,Maruti Suzuki Swift,PLATINUM,Bangalore,748599,60214, Diesel , 2nd Owner,2018,Maruti
700,Maruti Suzuki Swift,PLATINUM,Pune,622099,58861, Diesel , 2nd Owner,2017,Maruti
701,Volkswagen Polo -,PLATINUM,Pune,530699,27995, Petrol , 2nd Owner,2016,Volkswagen
702,Maruti Suzuki Celerio,PLATINUM,Bangalore,471899,61018, Petrol , 2nd Owner,2017,Maruti
703,Maruti Suzuki Swift,PLATINUM,Chennai,505399,67109, Petrol , 2nd Owner,2015,Maruti
704,Maruti Suzuki Wagon,PLATINUM,Chennai,460299,81811, Petrol , 2nd Owner,2017,Maruti
705,Hyundai Verna 1.6,PLATINUM,Pune,683999,27357, Petrol , 1st Owner,2017,Hyundai
706,Volkswagen Polo HIGHLINE1.2L,PLATINUM,Bangalore,639699,53293, Petrol , 3rd Owner,2018,Volkswagen
707,Maruti Suzuki Celerio,PLATINUM,Bangalore,510499,45260, Petrol , 2nd Owner,2017,Maruti
708,Hyundai Venue -,PLATINUM,Pune,1185499,3139, Petrol , 2nd Owner,2019,Hyundai
709,Maruti Suzuki Celerio,PLATINUM,Bangalore,471899,44690, Petrol , 1st Owner,2017,Maruti
710,Hyundai Santro ASTA,PLATINUM,Bangalore,579899,13858, Petrol , 1st Owner,2019,Hyundai
711,Maruti Suzuki Alto,PLATINUM,Bangalore,333699,25256, Petrol , 2nd Owner,2017,Maruti
713,Maruti Suzuki Ciaz,GOLD,Delhi,590000,44100, Hybrid , 1st Owner,2016,Maruti
714,Honda Amaze 1.2,GOLD,Kolkata,375888,47000, Petrol , 1st Owner,2016,Honda
716,Mahindra XUV 500,GOLD,Kolkata,778888,46000, Diesel , 1st Owner,2015,Mahindra
719,Volvo XC60 D3,GOLD,Mumbai,1750000,86000, Diesel , 2nd Owner,2012,Volvo
720,Volkswagen Polo COMFORTLINE,PLATINUM,Bangalore,582899,15227, Petrol , 1st Owner,2017,Volkswagen
721,Volkswagen Polo -,PLATINUM,Chennai,414099,87375, Diesel , 1st Owner,2014,Volkswagen
722,Maruti Suzuki Eeco,PLATINUM,Chennai,516599,7679, Petrol , 2nd Owner,2020,Maruti
723,Maruti Suzuki Alto,PLATINUM,Bangalore,366299,48378, Petrol , 1st Owner,2016,Maruti
724,Maruti Suzuki Wagon,PLATINUM,Chennai,375899,54645, Petrol , 1st Owner,2014,Maruti
725,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,7211, Petrol , 1st Owner,2019,Maruti
726,Datsun Redi GO,PLATINUM,Bangalore,311399,37217, Petrol , 2nd Owner,2017,Datsun
727,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,32372, Petrol , 1st Owner,2019,Maruti
728,Maruti Suzuki Wagon,PLATINUM,Chennai,501999,37947, Petrol , 2nd Owner,2018,Maruti
729,Hyundai Grand i10,PLATINUM,Pune,409399,51886, Petrol , 2nd Owner,2014,Hyundai
730,Toyota Innova Crysta,PLATINUM,Pune,1737899,43187, Diesel , 2nd Owner,2018,Toyota
731,Hyundai i20 Active,PLATINUM,Pune,583999,33616, Diesel , 1st Owner,2015,Hyundai
732,Volkswagen Vento -,PLATINUM,Chennai,654299,91087, Diesel , 1st Owner,2015,Volkswagen
733,Ford Ecosport -,PLATINUM,Bangalore,986699,26372, Petrol , 2nd Owner,2018,Ford
734,Maruti Suzuki Celerio,PLATINUM,Bangalore,414199,58762, Petrol , 1st Owner,2014,Maruti
735,Hyundai Elite i20,PLATINUM,Chennai,588099,101920, Diesel , 2nd Owner,2016,Hyundai
744,Hyundai i20 Active,PLATINUM,Pune,567399,35140, Petrol , 2nd Owner,2015,Hyundai
745,Maruti Suzuki Ciaz,PLATINUM,Pune,805099,50842, Diesel , 2nd Owner,2018,Maruti
746,Honda Amaze -,PLATINUM,Pune,492199,43412, Petrol , 1st Owner,2015,Honda
747,Honda Jazz -,PLATINUM,Pune,495799,46201, Petrol , 1st Owner,2016,Honda
748,Maruti Suzuki S,PLATINUM,Bangalore,1113599,63626, Diesel , 2nd Owner,2017,Maruti
749,Maruti Suzuki Alto,PLATINUM,Chennai,299999,18251, Petrol , 1st Owner,2016,Maruti
750,Maruti Suzuki Baleno,PLATINUM,Chennai,592099,41019, Petrol , 2nd Owner,2016,Maruti
751,Renault Kwid RXT,PLATINUM,Chennai,322299,46463, Petrol , 1st Owner,2015,Renault
752,Renault Kwid -,PLATINUM,Bangalore,481999,20110, Petrol , 2nd Owner,2017,Renault
753,Hyundai Grand i10,PLATINUM,Pune,534599,17364, Petrol , 2nd Owner,2016,Hyundai
754,MG Motors Hector,PLATINUM,Bangalore,1681899,6760, Petrol , 2nd Owner,2020,MG
755,Maruti Suzuki Celerio,PLATINUM,Bangalore,429599,35109, Petrol , 2nd Owner,2016,Maruti
756,Honda Amaze -,PLATINUM,Chennai,723799,44266, Petrol , 2nd Owner,2018,Honda
757,Volkswagen Polo -,PLATINUM,Chennai,563299,39156, Petrol , 2nd Owner,2017,Volkswagen
758,Maruti Suzuki Alto,PLATINUM,Pune,214199,57993, Petrol , 3rd Owner,2011,Maruti
759,Maruti Suzuki Alto,PLATINUM,Bangalore,319399,51573, Petrol , 2nd Owner,2015,Maruti
768,Maruti Suzuki Vitara,PLATINUM,Bangalore,810399,78329, Diesel , 2nd Owner,2016,Maruti
769,Maruti Suzuki Ertiga,PLATINUM,Chennai,788999,61977, Diesel , 1st Owner,2016,Maruti
770,Mahindra KUV100 K6,PLATINUM,Bangalore,508799,58640, Diesel , 1st Owner,2016,Mahindra
771,Renault Kwid -,PLATINUM,Bangalore,457099,40650, Petrol , 1st Owner,2018,Renault
772,Volkswagen Polo -,PLATINUM,Bangalore,612899,19121, Petrol , 2nd Owner,2019,Volkswagen
773,Ford Ecosport -,PLATINUM,Chennai,684099,85893, Diesel , 2nd Owner,2016,Ford
774,Renault Triber -,PLATINUM,Chennai,716699,9874, Petrol , 2nd Owner,2019,Renault
775,Hyundai Grand i10,PLATINUM,Bangalore,501599,25202, Petrol , 1st Owner,2016,Hyundai
776,Hyundai Grand i10,PLATINUM,Chennai,509699,95999, Petrol , 2nd Owner,2016,Hyundai
777,Maruti Suzuki Alto,PLATINUM,Bangalore,337799,49074, Petrol , 2nd Owner,2014,Maruti
778,Hyundai Verna 1.6,PLATINUM,Pune,852399,52439, Petrol , 2nd Owner,2017,Hyundai
779,Mahindra XUV 500,PLATINUM,Bangalore,1784699,10813, Diesel , 1st Owner,2020,Mahindra
780,Hyundai Creta -,PLATINUM,Chennai,778199,127971, Petrol , 2nd Owner,2016,Hyundai
781,Maruti Suzuki Swift,PLATINUM,Chennai,705099,114108, Diesel , 2nd Owner,2018,Maruti
782,Hyundai Grand i10,PLATINUM,Chennai,557599,52030, Diesel , 2nd Owner,2017,Hyundai
783,Mahindra XUV 500,PLATINUM,Pune,1518099,44721, Diesel , 2nd Owner,2018,Mahindra
788,BMW 5 Series,GOLD,NaviMumbai,1059000,49000, Petrol , 3rd Owner,2010,BMW
789,Maruti Suzuki Alto,GOLD,Kolkata,185000,55000, Petrol , 1st Owner,2011,Maruti
791,Mercedes Benz E,GOLD,Kolkata,1948888,10000, Diesel , 1st Owner,2013,Mercedes
792,Tata Harrier -,PLATINUM,Bangalore,2272499,22667, Diesel , 2nd Owner,2020,Tata
793,Honda City -,PLATINUM,Bangalore,626199,68519, Petrol , 1st Owner,2014,Honda
794,Tata Nano -,PLATINUM,Bangalore,236099,64011, Petrol , 1st Owner,2015,Tata
795,Maruti Suzuki Alto,PLATINUM,Bangalore,430499,13598, Petrol , 1st Owner,2021,Maruti
796,Maruti Suzuki Wagon,PLATINUM,Bangalore,442799,47037, Petrol , 2nd Owner,2014,Maruti
797,Hyundai Creta -,PLATINUM,Pune,1373699,69711, Petrol , 2nd Owner,2018,Hyundai
798,Hyundai Elite i20,PLATINUM,Pune,589299,49189, Petrol , 2nd Owner,2015,Hyundai
799,Maruti Suzuki Alto,PLATINUM,Chennai,298199,18368, Petrol , 1st Owner,2016,Maruti
800,Tata Harrier -,PLATINUM,Pune,1508799,16874, Diesel , 2nd Owner,2020,Tata
801,Maruti Suzuki Eeco,PLATINUM,Bangalore,473699,24484, Petrol , 2nd Owner,2019,Maruti
802,Maruti Suzuki Baleno,PLATINUM,Chennai,656299,20688, Petrol , 2nd Owner,2019,Maruti
803,Maruti Suzuki Alto,PLATINUM,Chennai,345799,24065, Petrol , 2nd Owner,2016,Maruti
804,Hyundai Grand i10,PLATINUM,Chennai,584599,22609, Petrol , 2nd Owner,2018,Hyundai
805,Skoda Rapid -,PLATINUM,Pune,786799,56523, Diesel , 2nd Owner,2017,Skoda
806,Hyundai Elite i20,PLATINUM,Chennai,624799,48031, Petrol , 2nd Owner,2018,Hyundai
807,Hyundai Grand i10,PLATINUM,Chennai,472399,45578, Petrol , 1st Owner,2016,Hyundai
808,Hyundai Fluidic Verna,GOLD,Kolkata,408888,70070, Diesel , 1st Owner,2012,Hyundai
809,Hyundai i10 Magna,GOLD,Kolkata,288888,28000, Petrol , 1st Owner,2015,Hyundai
810,Chevrolet Sail 1.2,GOLD,Kolkata,198888,30030, Diesel , 1st Owner,2013,Chevrolet
811,Ford Endeavor 4X4,GOLD,Kolkata,898888,25000, Diesel , 1st Owner,2011,Ford
812,BMW 3 Series,GOLD,Kolkata,1148888,8000, Diesel , 1st Owner,2013,BMW
816,Hyundai Elite i20,PLATINUM,Bangalore,687199,28648, Petrol , 1st Owner,2016,Hyundai
817,Hyundai i10 Magna,PLATINUM,Bangalore,387099,59819, Petrol , 2nd Owner,2015,Hyundai
818,Maruti Suzuki Baleno,PLATINUM,Chennai,650599,19574, Petrol , 2nd Owner,2018,Maruti
819,Tata Hexa -,PLATINUM,Chennai,1705799,46337, Diesel , 2nd Owner,2019,Tata
820,Volkswagen Polo -,PLATINUM,Bangalore,526899,73563, Petrol , 1st Owner,2015,Volkswagen
821,Honda Jazz -,PLATINUM,Chennai,612799,51428, Petrol , 2nd Owner,2016,Honda
822,Maruti Suzuki Alto,PLATINUM,Chennai,269099,95754, Petrol , 2nd Owner,2016,Maruti
823,Tata Hexa -,PLATINUM,Chennai,1952199,34533, Diesel , 2nd Owner,2019,Tata
824,Maruti Suzuki Baleno,PLATINUM,Chennai,646299,50154, Petrol , 2nd Owner,2016,Maruti
825,Maruti Suzuki Celerio,PLATINUM,Bangalore,425899,23492, Petrol , 2nd Owner,2016,Maruti
826,Maruti Suzuki Celerio,PLATINUM,Bangalore,496399,37739, Petrol , 2nd Owner,2017,Maruti
827,Maruti Suzuki Celerio,PLATINUM,Bangalore,393799,46178, Petrol , 3rd Owner,2015,Maruti
828,Maruti Suzuki Baleno,PLATINUM,Chennai,619599,42893, Petrol , 1st Owner,2017,Maruti
829,Maruti Suzuki Alto,PLATINUM,Pune,423599,57875, Petrol + CNG , 2nd Owner,2019,Maruti
830,Hyundai Venue -,PLATINUM,Pune,831999,4832, Petrol , 2nd Owner,2020,Hyundai
831,Renault Triber -,PLATINUM,Chennai,695099,27805, Petrol , 2nd Owner,2019,Renault
832,Hyundai Xcent S,GOLD,Ahmedabad,390000,71000, Diesel , 1st Owner,2014,Hyundai
840,Maruti Suzuki Alto,PLATINUM,Chennai,261499,68844, Petrol , 2nd Owner,2013,Maruti
841,Honda Jazz -,PLATINUM,Chennai,649699,37070, Petrol , 1st Owner,2017,Honda
842,Hyundai Grand i10,PLATINUM,Pune,494099,20393, Petrol , 2nd Owner,2017,Hyundai
843,Maruti Suzuki Alto,PLATINUM,Pune,313399,22244, Petrol , 2nd Owner,2017,Maruti
844,Toyota Fortuner -,PLATINUM,Chennai,2122099,47024, Diesel , 1st Owner,2016,Toyota
845,Hyundai Elite i20,PLATINUM,Chennai,552799,64707, Petrol , 2nd Owner,2015,Hyundai
846,Ford Ecosport -,PLATINUM,Pune,490099,52149, Petrol , 2nd Owner,2013,Ford
847,Hyundai Grand i10,PLATINUM,Pune,638599,11203, Petrol , 2nd Owner,2017,Hyundai
848,Maruti Suzuki Alto,PLATINUM,Pune,374799,18071, Petrol , 2nd Owner,2015,Maruti
849,Hyundai Elite i20,PLATINUM,Chennai,517499,81412, Petrol , 2nd Owner,2016,Hyundai
850,Maruti Suzuki Swift,PLATINUM,Chennai,553899,41912, Petrol , 2nd Owner,2016,Maruti
851,Maruti Suzuki Swift,PLATINUM,Chennai,579199,32516, Petrol , 2nd Owner,2016,Maruti
852,Hyundai Grand i10,PLATINUM,Bangalore,531999,41552, Petrol , 2nd Owner,2015,Hyundai
853,Hyundai Grand i10,PLATINUM,Chennai,496199,21790, Petrol , 1st Owner,2018,Hyundai
854,Maruti Suzuki Baleno,PLATINUM,Chennai,659099,34010, Petrol , 2nd Owner,2019,Maruti
855,Hyundai Elite i20,PLATINUM,Chennai,534799,50050, Petrol , 2nd Owner,2016,Hyundai
864,Hyundai Grand i10,PLATINUM,Chennai,496199,21790, Petrol , 1st Owner,2018,Hyundai
865,Maruti Suzuki Wagon,PLATINUM,Chennai,298599,75822, Petrol , 1st Owner,2011,Maruti
866,Tata Tiago -,PLATINUM,Bangalore,490199,28589, Petrol , 1st Owner,2016,Tata
867,Renault Kwid -,PLATINUM,Bangalore,422999,15883, Petrol , 2nd Owner,2017,Renault
868,Hyundai Elite i20,PLATINUM,Chennai,656399,63648, Petrol , 1st Owner,2016,Hyundai
869,Maruti Suzuki Vitara,PLATINUM,Pune,688599,156931, Diesel , 2nd Owner,2016,Maruti
870,Maruti Suzuki XL6,PLATINUM,Pune,1113299,13829, Petrol , 2nd Owner,2019,Maruti
871,Maruti Suzuki Baleno,PLATINUM,Pune,608399,28361, Petrol , 1st Owner,2016,Maruti
872,Hyundai Grand i10,PLATINUM,Chennai,587399,77960, Petrol , 1st Owner,2017,Hyundai
873,Maruti Suzuki Celerio,PLATINUM,Bangalore,449699,33473, Petrol , 2nd Owner,2015,Maruti
874,Maruti Suzuki Eeco,PLATINUM,Chennai,464899,29052, Petrol , 2nd Owner,2019,Maruti
875,Maruti Suzuki Alto,PLATINUM,Chennai,302699,68041, Petrol , 2nd Owner,2017,Maruti
876,Maruti Suzuki Baleno,PLATINUM,Bangalore,583299,61361, Petrol , 2nd Owner,2015,Maruti
877,Honda BRV -,PLATINUM,Bangalore,877999,32218, Petrol , 2nd Owner,2018,Honda
878,Hyundai i10 Magna,PLATINUM,Chennai,398499,28579, Petrol , 1st Owner,2016,Hyundai
879,Hyundai Grand i10,PLATINUM,Chennai,529399,51343, Petrol , 2nd Owner,2017,Hyundai
884,Honda City V,GOLD,Chennai,950000,35500, Petrol , 1st Owner,2017,Honda
886,Hyundai i20 Sportz,GOLD,Bangalore,439000,16000, Petrol , 1st Owner,2012,Hyundai
888,Renault Kwid RxL,PLATINUM,Bangalore,422299,17357, Petrol , 2nd Owner,2019,Renault
889,Ford Figo Aspire,PLATINUM,Bangalore,589999,14517, Petrol , 2nd Owner,2017,Ford
890,Maruti Suzuki Baleno,PLATINUM,Chennai,661299,13517, Petrol , 1st Owner,2017,Maruti
891,Maruti Suzuki Wagon,PLATINUM,Chennai,429099,42302, Petrol , 1st Owner,2017,Maruti
892,Maruti Suzuki Celerio,PLATINUM,Chennai,389399,65783, Petrol , 2nd Owner,2015,Maruti
893,Renault Lodgy -,PLATINUM,Chennai,629799,138716, Diesel , 2nd Owner,2015,Renault
894,Hyundai i10 Sportz,PLATINUM,Bangalore,397299,43339, Petrol , 1st Owner,2013,Hyundai
895,Maruti Suzuki Ignis,PLATINUM,Pune,546399,19526, Petrol , 2nd Owner,2018,Maruti
896,Maruti Suzuki Alto,PLATINUM,Bangalore,412999,25673, Petrol , 1st Owner,2016,Maruti
897,Maruti Suzuki Celerio,PLATINUM,Chennai,402799,93304, Petrol , 2nd Owner,2016,Maruti
898,Hyundai Creta -,PLATINUM,Chennai,915699,94409, Diesel , 2nd Owner,2019,Hyundai
900,Hyundai EON -,PLATINUM,Chennai,357899,27339, Petrol , 2nd Owner,2016,Hyundai
901,Renault Kwid -,PLATINUM,Pune,475399,9095, Petrol , 2nd Owner,2018,Renault
902,Maruti Suzuki Eeco,PLATINUM,Bangalore,485299,21934, Petrol , 1st Owner,2019,Maruti
903,Maruti Suzuki Baleno,PLATINUM,Bangalore,643599,51706, Petrol , 2nd Owner,2016,Maruti
904,Honda City ZX,GOLD,Dwarka,1069999,54000, CNG , 1st Owner,2018,Honda
905,Honda City ZX,GOLD,GirSomnath,1069999,54000, CNG , 1st Owner,2018,Honda
906,Honda City ZX,GOLD,Anand,1069999,54000, CNG , 1st Owner,2018,Honda
911,Honda WRV VX,GOLD,Kolkata,735000,34000, Petrol , 1st Owner,2018,Honda
912,Maruti Suzuki Wagon,PLATINUM,Pune,438199,31281, Petrol , 1st Owner,2018,Maruti
913,Honda City -,PLATINUM,Bangalore,924599,46312, Petrol , 2nd Owner,2019,Honda
914,Hyundai Elite i20,PLATINUM,Chennai,664099,32989, Petrol , 1st Owner,2018,Hyundai
915,Renault Kwid -,PLATINUM,Bangalore,462299,50599, Petrol , 2nd Owner,2018,Renault
916,Honda Brio -,PLATINUM,Bangalore,438499,26127, Petrol , 2nd Owner,2016,Honda
917,Maruti Suzuki Vitara,PLATINUM,Bangalore,680999,58118, Diesel , 2nd Owner,2016,Maruti
918,Maruti Suzuki Alto,PLATINUM,Chennai,393199,23534, Petrol , 2nd Owner,2019,Maruti
919,Maruti Suzuki Baleno,PLATINUM,Chennai,646799,58978, Petrol , 2nd Owner,2018,Maruti
920,Maruti Suzuki Wagon,PLATINUM,Pune,349999,33103, Petrol , 1st Owner,2014,Maruti
921,Maruti Suzuki Eeco,PLATINUM,Bangalore,419599,14600, Petrol , 2nd Owner,2018,Maruti
922,Maruti Suzuki Baleno,PLATINUM,Pune,585099,26049, Petrol , 2nd Owner,2016,Maruti
923,Ford Freestyle -,PLATINUM,Bangalore,627799,33895, Diesel , 1st Owner,2018,Ford
924,Volkswagen Polo -,PLATINUM,Bangalore,520799,32893, Petrol , 2nd Owner,2017,Volkswagen
925,Maruti Suzuki Swift,PLATINUM,Chennai,410199,61717, Petrol , 3rd Owner,2013,Maruti
926,Maruti Suzuki Wagon,PLATINUM,Chennai,404399,82334, Petrol , 2nd Owner,2017,Maruti
927,Hyundai Verna -,PLATINUM,Chennai,682799,87381, Petrol , 2nd Owner,2017,Hyundai
930,Porsche Cayenne Select,GOLD,Mumbai,3300000,38000, Electric , 1st Owner,2011,Porsche
931,Toyota Innova 2.5,GOLD,Bangalore,1175000,210000, Diesel , 1st Owner,2013,Toyota
936,Ford Ecosport -,PLATINUM,Pune,1045799,34642, Petrol , 2nd Owner,2019,Ford
937,Maruti Suzuki Swift,PLATINUM,Chennai,410199,154104, Petrol , 2nd Owner,2013,Maruti
938,Maruti Suzuki Alto,PLATINUM,Chennai,297299,61826, Petrol , 2nd Owner,2016,Maruti
939,Tata Nexon -,PLATINUM,Pune,980199,44751, Diesel , 2nd Owner,2018,Tata
940,Honda Jazz -,PLATINUM,Chennai,794299,5183, Petrol , 2nd Owner,2019,Honda
941,Maruti Suzuki Swift,PLATINUM,Pune,411899,136082, Diesel , 2nd Owner,2012,Maruti
942,Maruti Suzuki Celerio,PLATINUM,Chennai,557399,5817, Petrol , 1st Owner,2019,Maruti
943,Hyundai Creta -,PLATINUM,Pune,896099,99138, Diesel , 2nd Owner,2015,Hyundai
944,Honda Jazz -,PLATINUM,Pune,637699,27936, Petrol , 2nd Owner,2016,Honda
945,Maruti Suzuki Alto,PLATINUM,Chennai,254499,39845, Petrol , 3rd Owner,2014,Maruti
946,Maruti Suzuki Eeco,PLATINUM,Chennai,457699,15615, Petrol , 2nd Owner,2019,Maruti
947,Honda Brio -,PLATINUM,Chennai,361599,53158, Petrol , 2nd Owner,2012,Honda
948,Maruti Suzuki Baleno,PLATINUM,Pune,675799,16002, Petrol , 2nd Owner,2019,Maruti
