,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
64,Hyundai Creta 1.6,GOLD,Chennai,725000,58460, Diesel , 1st Owner,2019,Hyundai
65,Hyundai Venue -,GOLD,Chennai,600000,29000, Diesel , 1st Owner,2019,Hyundai
72,Hyundai Creta 1.6,PLATINUM,Pune,818599,69215, Petrol , 1st Owner,2017,Hyundai
73,Hyundai Verna 1.6,PLATINUM,Pune,862399,33340, Petrol , 1st Owner,2018,Hyundai
74,Renault Triber -,PLATINUM,Pune,673599,9783, Petrol , 2nd Owner,2019,Renault
75,Hyundai Santro Sportz,PLATINUM,Pune,528899,15110, Petrol , 2nd Owner,2018,Hyundai
76,Maruti Suzuki S,PLATINUM,Pune,527999,3399, Petrol , 2nd Owner,2021,Maruti
77,Mahindra XUV 500,PLATINUM,Pune,791699,89310, Diesel , 1st Owner,2013,Mahindra
78,Maruti Suzuki Wagon,PLATINUM,Chennai,392999,53148, Petrol , 1st Owner,2015,Maruti
79,Honda City VX,PLATINUM,Pune,690199,42020, Petrol , 1st Owner,2015,Honda
80,Maruti Suzuki Swift,PLATINUM,Pune,474699,74594, Diesel , 2nd Owner,2013,Maruti
81,MG Motors Hector,PLATINUM,Pune,2019899,6110, Petrol , 2nd Owner,2021,MG
82,Hyundai Grand i10,PLATINUM,Pune,562299,24346, Petrol , 2nd Owner,2017,Hyundai
83,Jeep Compass -,PLATINUM,Pune,1400999,65668, Diesel , 1st Owner,2017,Jeep
84,Renault Kwid -,PLATINUM,Pune,447599,48644, Petrol , 2nd Owner,2018,Renault
85,Toyota Innova Crysta,PLATINUM,Pune,1814599,36877, Diesel , 2nd Owner,2018,Toyota
86,Tata Nexon -,PLATINUM,Pune,920399,79673, Diesel , 2nd Owner,2018,Tata
87,Maruti Suzuki Swift,PLATINUM,Pune,447599,54352, Petrol , 2nd Owner,2014,Maruti
91,Mahindra Xylo -,GOLD,Kozhikode,525000,107000, Diesel , 1st Owner,2015,Mahindra
92,Mahindra Xylo -,GOLD,Kozhikode,525000,107000, Diesel , 2nd Owner,2015,Mahindra
96,Maruti Suzuki Alto,PLATINUM,Pune,343299,48658, Petrol , 2nd Owner,2017,Maruti
97,MG Motors Hector,PLATINUM,Pune,1711499,11998, Petrol , 2nd Owner,2020,MG
98,Maruti Suzuki Vitara,PLATINUM,Pune,918799,32513, Diesel , 2nd Owner,2018,Maruti
99,Hyundai Grand i10,PLATINUM,Pune,526399,21372, Petrol , 2nd Owner,2016,Hyundai
100,Volkswagen Vento -,PLATINUM,Pune,881099,34178, Petrol , 1st Owner,2017,Volkswagen
101,Kia Seltos -,PLATINUM,Pune,1764199,20547, Petrol , 2nd Owner,2019,Kia
102,Maruti Suzuki Baleno,PLATINUM,Pune,639199,34731, Petrol , 2nd Owner,2016,Maruti
103,Hyundai Grand i10,PLATINUM,Pune,522999,30536, Petrol , 1st Owner,2016,Hyundai
104,MG Motors Hector,PLATINUM,Bangalore,1917599,10205, Diesel , 2nd Owner,2019,MG
105,Maruti Suzuki Wagon,PLATINUM,Pune,466599,25483, Petrol , 2nd Owner,2017,Maruti
106,Toyota Corolla Altis,PLATINUM,Pune,1397699,39113, Petrol , 2nd Owner,2017,Toyota
107,Maruti Suzuki Ignis,PLATINUM,Pune,504399,43152, Petrol , 2nd Owner,2017,Maruti
108,MG Motors Hector,PLATINUM,Pune,1920399,5325, Petrol , 2nd Owner,2020,MG
109,Ford Ecosport -,PLATINUM,Pune,917599,44705, Petrol , 2nd Owner,2018,Ford
110,Toyota Etios -,PLATINUM,Pune,319099,70022, Petrol , 2nd Owner,2011,Toyota
111,Maruti Suzuki Celerio,PLATINUM,Pune,484399,47435, Petrol , 2nd Owner,2017,Maruti
115,Honda City 1.5,GOLD,Lucknow,73000,195000, Petrol , 2nd Owner,2001,Honda
117,Hyundai Verna 1.6,GOLD,Coimbatore,1550000,13000, Petrol , 1st Owner,2022,Hyundai
118,Mahindra e2o T2,GOLD,Bangalore,420000,46000, Electric , 1st Owner,2016,Mahindra
119,Toyota Fortuner 4x4,GOLD,Kolkata,1595000,72000, Diesel , 1st Owner,2015,Toyota
120,Hyundai Xcent -,PLATINUM,Pune,573499,29026, Petrol , 2nd Owner,2016,Hyundai
121,Hyundai Creta 1.6,PLATINUM,Pune,879199,59258, Petrol , 2nd Owner,2015,Hyundai
122,Mahindra XUV 500,PLATINUM,Pune,733399,120399, Diesel , 1st Owner,2014,Mahindra
123,Maruti Suzuki Vitara,PLATINUM,Pune,967599,28853, Diesel , 2nd Owner,2018,Maruti
